"samples","file_size","total_number_of_reads","GC_content","total_number_of_bases","complete_sequence_length","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","life_style","biosphere","ecosystem","habitat","country","latitude","longitude","seq_method"
"mgm4503268",22084864,48764,0.63686027998769,20633050,20633050,423.120539742433,490,471,60,705,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503275",16412339,36194,0.540024091083202,15337625,15337625,423.76153506106,490,459,60,705,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503285",62611900,134718,0.381804009770313,58546745,58546745,434.587397378227,482,467,60,752,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4503286",5997739,13944,0.629579860794342,5590290,5590290,400.910068846816,458,436,60,917,"host-associated","terrestrial","human_host-associated","lung","USA",32.715786,-117.158339833333,"454"
"mgm4516541",315659885,652417,0.460034549132662,295546059,295546059,453.001774938421,431,432,100,1101,"host-associated","marine","animal_host-associated","coral","Brazil",-23.8436111111111,-45.1669444444444,"454"
"mgm4516694",337809609,707209,0.452825886268479,315996599,315996599,446.82208371217,457,439,100,1092,"host-associated","marine","animal_host-associated","coral","Brazil",-23.8436111111111,-45.1669444444444,"454"
"mgm4520107",44378517,90413,0.458245038875393,42841496,42841496,473.842212956101,509,487,50,758,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520108",66966116,136290,0.472074760539135,64649186,64649186,474.350179763739,511,488,50,792,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520109",26090435,53580,0.503519856868116,25179575,25179575,469.943542366555,510,493,50,833,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520110",48740649,101819,0.453606111211965,47009726,47009726,461.698955990532,423,476,50,800,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520111",73030548,144585,0.458287559550553,70572603,70572603,488.104595912439,517,499,50,809,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520113",21083211,42977,0.491645097761947,20352602,20352602,473.569630267352,515,499,50,725,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
"mgm4520114",85124932,180875,0.506287289964954,82050057,82050057,453.628511402903,423,467,50,728,"host-associated","terrestrial","human_host-associated","human_feces","USA",37.4225,-122.1653,"454"
