"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4639054","stream","biofilm material","microbial mat|biofilm",NA,"Sharpsburg_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.454971,-77.737793,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639055","stream","biofilm material","microbial mat|biofilm",NA,"Turkey_Run_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.963623,-77.157501,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4667220","stream","surface water","water",NA,"H3S.2","ORGANIC FERTILIZER: ENVIRONMENTAL INFLUENCE AND BIOTECHNOLOGICAL USE","metagenome","WGS",NA,"Brazil",23.579464,47.588183,"small river biome","mgp15294","free-living","stream","freshwater","freshwater"
"mgm4667225","stream","surface water","water",NA,"H2S.2","ORGANIC FERTILIZER: ENVIRONMENTAL INFLUENCE AND BIOTECHNOLOGICAL USE","metagenome","WGS",NA,"Brazil",23.580036,47.586303,"small river biome","mgp15294","free-living","stream","freshwater","freshwater"
"mgm4667237","stream","surface water","water",NA,"H1S.0","ORGANIC FERTILIZER: ENVIRONMENTAL INFLUENCE AND BIOTECHNOLOGICAL USE","metagenome","WGS",NA,"Brazil",23.579464,47.588183,"small river biome","mgp15294","free-living","stream","freshwater","freshwater"
"mgm4667238","stream","surface water","water",NA,"H1S.2","ORGANIC FERTILIZER: ENVIRONMENTAL INFLUENCE AND BIOTECHNOLOGICAL USE","metagenome","WGS",NA,"Brazil",23.580036,47.586303,"small river biome","mgp15294","free-living","stream","freshwater","freshwater"
"mgm4679712","freshwater habitat","surface water","water",NA,"Boone_sterivex","Pine_Creek_metagenomics","metagenome","WGS","north america","USA",41.35398,-77.36202,"small river biome","mgp16384","free-living","river","freshwater","freshwater"
"mgm4679713","freshwater habitat","surface water","water",NA,"Slate_sterivex","Pine_Creek_metagenomics","metagenome","WGS","north america","USA",41.5527,-77.61581,"small river biome","mgp16384","free-living","river","freshwater","freshwater"
"mgm4679715","freshwater habitat","surface water","water",NA,"Ramsey_sterivex","Pine_Creek_metagenomics","metagenome","WGS","north america","USA",41.28714,-77.32458,"small river biome","mgp16384","free-living","river","freshwater","freshwater"
"mgm4679716","freshwater habitat","surface water","water",NA,"Mill_sterivex","Pine_Creek_metagenomics","metagenome","WGS","north america","USA",41.44967,-77.42759,"small river biome","mgp16384","free-living","river","freshwater","freshwater"
"mgm4679721","freshwater habitat","surface water","water",NA,"Dam_sterivex","Pine_Creek_metagenomics","metagenome","WGS","north america","USA",41.32943,-77.34448,"small river biome","mgp16384","free-living","river","freshwater","freshwater"
"mgm4698585","freshwater habitat","surface water","water",NA,"ManaYB_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.817849,-77.510242,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698586","freshwater habitat","surface water","water",NA,"JoeBrooks_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.633364,-77.450235,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698587","freshwater habitat","surface water","water",NA,"CATOBHC_tail_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.631216,-77.454625,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698588","freshwater habitat","surface water","water",NA,"Bush_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.369119,-77.3855,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698589","freshwater habitat","surface water","water",NA,"CunnFalls_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.629695,-77.462659,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698590","freshwater habitat","surface water","water",NA,"Owens1_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.661676,-77.481384,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698591","freshwater habitat","surface water","water",NA,"HAFE_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.29577,-77.792231,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698592","freshwater habitat","surface water","water",NA,"Fenwick_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.984951,-77.041723,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698593","freshwater habitat","surface water","water",NA,"PWFPTR_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.575744,-77.375646,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698594","freshwater habitat","surface water","water",NA,"Gambrill_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.367842,-77.388236,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4698595","freshwater habitat","surface water","water",NA,"Owens2_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.672006,-77.454977,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4701410","river","sediment","sediment","freshwater sediment","JL31_1","Indian_sediments","metagenome","WGS","asia","India",17.7158333333333,78.3991666667,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701411","river","sediment","sediment","freshwater sediment","JL28_1","Indian_sediments","metagenome","WGS","asia","India",17.5713888888888,78.4897222222,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701412","river","sediment","sediment","freshwater sediment","JL29_2","Indian_sediments","metagenome","WGS","asia","India",17.6086111111111,78.4516666667,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701414","river","sediment","sediment","freshwater sediment","JL30_2","Indian_sediments","metagenome","WGS","asia","India",17.6427777777777,78.3866666667,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701415","river","sediment","sediment","freshwater sediment","JL27_1","Indian_sediments","metagenome","WGS","asia","India",17.8791666666666,78.3758333333,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701416","river","sediment","sediment","freshwater sediment","Metagenomics1_2","Indian_sediments","metagenome","WGS","asia","India",17.5713888888888,78.4897222222,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701420","river","sediment","sediment","freshwater sediment","JL29_1","Indian_sediments","metagenome","WGS","asia","India",17.6086111111111,78.4516666667,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701421","river","sediment","sediment","freshwater sediment","JL32_2","Indian_sediments","metagenome","WGS","asia","India",17.6555555555555,78.4463888889,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701423","river","sediment","sediment","freshwater sediment","JL32_1","Indian_sediments","metagenome","WGS","asia","India",17.6555555555555,78.4463888889,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701425","river","sediment","sediment","freshwater sediment","Metagenomics2_2","Indian_sediments","metagenome","WGS","asia","India",17.7158333333333,78.3991666667,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701427","river","sediment","sediment","freshwater sediment","JL30_1","Indian_sediments","metagenome","WGS","asia","India",17.6427777777777,78.3866666667,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701428","river","sediment","sediment","freshwater sediment","JL28_2","Indian_sediments","metagenome","WGS","asia","India",17.5713888888888,78.4897222222,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701430","river","sediment","sediment","freshwater sediment","JL31_2","Indian_sediments","metagenome","WGS","asia","India",17.7158333333333,78.3991666667,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4701431","river","sediment","sediment","freshwater sediment","Metagenomics1_1","Indian_sediments","metagenome","WGS","asia","India",17.5713888888888,78.4897222222,"small river biome","mgp18323","free-living","river_sediment","freshwater","sediment"
"mgm4702046","freshwater habitat","surface water","water",NA,"Shpsbg_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.454971,-77.737793,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4702047","freshwater habitat","surface water","water",NA,"BrBranch_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.944929,-77.050302,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4702048","freshwater habitat","surface water","water",NA,"Turkey_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.963623,-77.157501,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4702049","freshwater habitat","surface water","water",NA,"CunnFalls2_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.629695,-77.462659,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4702050","freshwater habitat","surface water","water",NA,"CATOBHC_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.626218,-77.439928,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4702051","freshwater habitat","surface water","water",NA,"Oxon_net","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.810858,-77.009346,"small river biome","mgp14051","free-living","river","freshwater","freshwater"
"mgm4729586","stream","biofilm material","microbial mat|biofilm",NA,"Bush_Jun_biof_15","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.369119,-77.3855,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4729587","stream","biofilm material","microbial mat|biofilm",NA,"ANTI_Aug_biof_15","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.454971,-77.737793,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4729588","stream","biofilm material","microbial mat|biofilm",NA,"Bush_Aug_biof_15","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.369119,-77.3855,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4729589","stream","biofilm material","microbial mat|biofilm",NA,"CATOBHCTail_biof_15","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.631216,-77.454625,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4729590","stream","biofilm material","microbial mat|biofilm",NA,"CHOHWill_biof_15","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.598832,-77.829211,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4729591","stream","biofilm material","microbial mat|biofilm",NA,"JoeBrooks_biof_15","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.633364,-77.450235,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
