"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4600902","forest","soil","soil",NA,"Ah-2-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600903","forest","soil","soil",NA,"Ah-2-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600904","forest","soil","soil",NA,"II-P-1-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600905","forest","soil","soil",NA,"II-P-1-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600906","forest","soil","soil",NA,"II-P-2-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600907","forest","soil","soil",NA,"II-P-2-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600908","forest","soil","soil",NA,"Of-1-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600909","forest","soil","soil",NA,"Of-1-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600910","forest","soil","soil",NA,"Of-2-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4600911","forest","soil","soil",NA,"Of-2-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil"
"mgm4614815","forest","forest soil","soil",NA,"A1_FF_May13_uncut","Gradient_Forest_Floor_May2013","metagenome","WGS","north america","USA",46.86845,-88.8910916666667,"Temperate broadleaf and mixed forest biome","mgp8732","free-living","forest_soil","terrestrial","soil"
