"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_method"
"mgm4461378","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461379","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461380","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",32.736585,-117.151475,"Gordon","454"
"mgm4461383","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4743181","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.802089,-96.681604,"dvorak","illumina"
"mgm4754043","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.798002,-96.674366,"dvorak","illumina"
"mgm4754047","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.796202,-96.671152,"dvorak","illumina"
"mgm4754048","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.798002,-96.674366,"dvorak","illumina"
"mgm4754510","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.783025,-96.636345,"dvorak","illumina"
"mgm4754512","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.783744,-96.635503,"dvorak","illumina"
"mgm4754513","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.806013,-96.685911,"dvorak","illumina"
"mgm4754520","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.810921,-96.666221,"dvorak","illumina"
"mgm4754521","host-associated","terrestrial","animal_host-associated","animal_feces","USA","Antelope_Creek_Watershed_Metagenome",40.802089,-96.681604,"dvorak","illumina"
"mgm4715466","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715467","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715468","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715469","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715470","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715471","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
"mgm4715472","host-associated","terrestrial","animal_host-associated","animal_feces","India","Chicken Gut Microbiome Tamilnadu India",13.1504,80.2414,"koringa","illumina"
